,id,usuario_criado,usuario_excluido,meses_assinatura,intervalo_de_inatividade,idade,faixa_etaria_05,faixa_etaria_10,ativo,versao,cidade,estado,gasto_medio,media_de_itens,gasto_total,total_de_pedidos,canal_marketing
0,8bf7960e-3b93-468b-856e-6c6c5b56f52b,2017-08-15 07:05:00,,-1,1,46,46-50,41-50,1,2.31.7, Peixoto da Praia,AM,151.142941888541,10,906.857651331245,6,crm
1,a39535b5-4647-4680-b4f6-3aed57c1f1ff,2019-12-31 09:53:00,,-1,1,80,75 +,70 +,1,3.30.12, Fernandes,RR,236.991789979188,4,236.991789979188,1,organic_search
2,dc067cd2-c021-42bd-8c0e-beb267280e66,2019-03-07 11:46:00,,-1,1,57,56-60,51-60,1,3.28.9, Lopes,RR,211.955597446163,13,2331.5115719078,11,organic_search
3,b5e4caeb-3a9b-49ed-aa33-5acd06b162c1,2018-07-21 10:17:00,,-1,1,40,36-40,31-40,1,3.34.3, Campos do Campo,PE,204.113226530216,8,1224.67935918129,6,organic_search
4,d4ff61fc-f008-4e19-b8ae-bd70cfa3ae27,2018-06-08 12:09:00,,-1,0,61,61-65,61-70,1,3.19.8, das Neves,RJ,252.94099747406,9,2023.52797979248,8,crm
5,cf80033a-1db3-4be3-a4a6-6f9b84e1386f,2017-06-09 04:33:00,,-1,0,65,61-65,61-70,1,4.28.7, Aragão,AM,215.477590035546,5,1723.82072028437,8,organic_search
6,930858b1-ee5f-4df3-94d5-d43dc3eff4d8,2017-05-25 08:02:00,,-1,1,40,36-40,31-40,1,4.39.6, Lopes,MT,195.854438681288,10,1566.8355094503,8,organic_search
7,e7b78675-9438-4191-94c7-f942abcdca8b,2017-10-17 06:53:00,,-1,1,64,61-65,61-70,1,3.37.9, Pereira Grande,SC,216.017706601439,8,864.070826405758,4,direct
8,6ba36c18-a1c4-4d30-89dd-adbd37c9d9e6,2017-12-09 04:32:00,,-1,1,48,46-50,41-50,1,3.12.13, Fernandes Alegre,PR,221.978135305628,8,443.956270611256,2,organic_search
9,70029e96-d57e-4fef-9795-bd4152ebf9a0,2019-10-24 09:17:00,,-1,1,54,51-55,51-60,1,3.18.6, Cardoso do Sul,MT,220.287961479789,7,660.863884439368,3,paid_search
